cible,piezo cible,piezo j-1,piezo j-2,piezo j-3,piezo j-4,piezo j-5,pluie j0,pluie j-1,pluie j-2,pluie j-3,pluie j-4,pluie j-5,temp_moy j0,temp_moy j-1,temp_moy j-2,temp_moy j-3,temp_moy j-4,temp_moy j-5,humidite_min j0,humidite_min j-1,humidite_min j-2,humidite_min j-3,humidite_min j-4,humidite_min j-5,humidite_max j0,humidite_max j-1,humidite_max j-2,humidite_max j-3,humidite_max j-4,humidite_max j-5,pression_moy j0,pression_moy j-1,pression_moy j-2,pression_moy j-3,pression_moy j-4,pression_moy j-5
-4,70.38,70.41,70.41,70.39,70.37,70.35,0,0.2,0.2,0,1.2,2,0.5,-0.6,2.3,2.6,4.8,6.3,64,70,70,53,50,75,100,95,93,93,100,93,1013.1,1009.9,1010.8,1017,1020.1,1024.1
0,70.38,70.38,70.41,70.41,70.39,70.37,1,0,0.2,0.2,0,1.2,0.2,0.5,-0.6,2.3,2.6,4.8,68,64,70,70,53,50,95,100,95,93,93,100,1012.7,1013.1,1009.9,1010.8,1017,1020.1
0,70.38,70.38,70.38,70.41,70.41,70.39,0,1,0,0.2,0.2,0,1.4,0.2,0.5,-0.6,2.3,2.6,68,68,64,70,70,53,95,95,100,95,93,93,1011.3,1012.7,1013.1,1009.9,1010.8,1017
-4,70.35,70.38,70.38,70.38,70.41,70.41,0.4,0,1,0,0.2,0.2,1.5,1.4,0.2,0.5,-0.6,2.3,48,68,68,64,70,70,93,95,95,100,95,93,1016.6,1011.3,1012.7,1013.1,1009.9,1010.8
-2,70.33,70.35,70.38,70.38,70.38,70.41,0,0.4,0,1,0,0.2,2.9,1.5,1.4,0.2,0.5,-0.6,29,48,68,68,64,70,94,93,95,95,100,95,1021.4,1016.6,1011.3,1012.7,1013.1,1009.9
-4,70.3,70.33,70.35,70.38,70.38,70.38,0,0,0.4,0,1,0,-1.6,2.9,1.5,1.4,0.2,0.5,36,29,48,68,68,64,77,94,93,95,95,100,1024.7,1021.4,1016.6,1011.3,1012.7,1013.1
3,70.37,70.3,70.33,70.35,70.38,70.38,7,0,0,0.4,0,1,-0.8,-1.6,2.9,1.5,1.4,0.2,52,36,29,48,68,68,91,77,94,93,95,95,1012.1,1024.7,1021.4,1016.6,1011.3,1012.7
2,70.42,70.37,70.3,70.33,70.35,70.38,1.2,7,0,0,0.4,0,4.4,-0.8,-1.6,2.9,1.5,1.4,62,52,36,29,48,68,95,91,77,94,93,95,1000.9,1012.1,1024.7,1021.4,1016.6,1011.3
-5,70.35,70.42,70.37,70.3,70.33,70.35,0,1.2,7,0,0,0.4,1.4,4.4,-0.8,-1.6,2.9,1.5,62,62,52,36,29,48,93,95,91,77,94,93,1011,1000.9,1012.1,1024.7,1021.4,1016.6
-4,70.3,70.35,70.42,70.37,70.3,70.33,2.8,0,1.2,7,0,0,1.3,1.4,4.4,-0.8,-1.6,2.9,60,62,62,52,36,29,92,93,95,91,77,94,1016.6,1011,1000.9,1012.1,1024.7,1021.4
