valeur;Plus ou moins;piezo cible;piezo j-1;piezo j-2;piezo j-3;piezo j-4;piezo j-5;pluie j0;pluie j-1;pluie j-2;pluie j-3;pluie j-4;pluie j-5;temp_moy j0;temp_moy j-1;temp_moy j-2;temp_moy j-3;temp_moy j-4;temp_moy j-5;humidite_min j0;humidite_min j-1;humidite_min j-2;humidite_min j-3;humidite_min j-4;humidite_min j-5;humidite_max j0;humidite_max j-1;humidite_max j-2;humidite_max j-3;humidite_max j-4;humidite_max j-5;pression_moy j0;pression_moy j-1;pression_moy j-2;pression_moy j-3;pression_moy j-4;pression_moy j-5;Plus ou moins
0,15;1;72,42;72,27;71,9;71,01;70,56;70,4;0,2;0;2,2;1,4;21;1;3,6;6,1;9,7;10,3;7,1;7,3;71;77;83;84;90;67;95;98;98;98;97;95;1004,7;993,8;991,4;993,3;999,4;1008;1
0,04;1;72,46;72,42;72,27;71,9;71,01;70,56;0;0,2;0;2,2;1,4;21;1,5;3,6;6,1;9,7;10,3;7,1;53;71;77;83;84;90;97;95;98;98;98;97;1019,7;1004,7;993,8;991,4;993,3;999,4;1
0,08;1;72,54;72,46;72,42;72,27;71,9;71,01;0;0;0,2;0;2,2;1,4;2,8;1,5;3,6;6,1;9,7;10,3;54;53;71;77;83;84;87;97;95;98;98;98;1018,6;1019,7;1004,7;993,8;991,4;993,3;1
0,03;1;72,57;72,54;72,46;72,42;72,27;71,9;0;0;0;0,2;0;2,2;-1,5;2,8;1,5;3,6;6,1;9,7;42;54;53;71;77;83;90;87;97;95;98;98;1017,2;1018,6;1019,7;1004,7;993,8;991,4;1
0,05;1;72,62;72,57;72,54;72,46;72,42;72,27;0,8;0;0;0;0,2;0;-2,1;-1,5;2,8;1,5;3,6;6,1;62;42;54;53;71;77;92;90;87;97;95;98;1008,1;1017,2;1018,6;1019,7;1004,7;993,8;1
0,01;1;72,63;72,62;72,57;72,54;72,46;72,42;0;0,8;0;0;0;0,2;-0,6;-2,1;-1,5;2,8;1,5;3,6;84;62;42;54;53;71;97;92;90;87;97;95;1000,4;1008,1;1017,2;1018,6;1019,7;1004,7;1
-0,09;0;72,54;72,63;72,62;72,57;72,54;72,46;0;0;0,8;0;0;0;-0,8;-0,6;-2,1;-1,5;2,8;1,5;57;84;62;42;54;53;94;97;92;90;87;97;1011,1;1000,4;1008,1;1017,2;1018,6;1019,7;0
-0,02;0;72,52;72,54;72,63;72,62;72,57;72,54;0;0;0;0,8;0;0;-1,9;-0,8;-0,6;-2,1;-1,5;2,8;53;57;84;62;42;54;97;94;97;92;90;87;1017,5;1011,1;1000,4;1008,1;1017,2;1018,6;0
-0,01;0;72,51;72,52;72,54;72,63;72,62;72,57;0;0;0;0;0,8;0;-1,7;-1,9;-0,8;-0,6;-2,1;-1,5;68;53;57;84;62;42;90;97;94;97;92;90;1018;1017,5;1011,1;1000,4;1008,1;1017,2;0
-0,02;0;72,49;72,51;72,52;72,54;72,63;72,62;0;0;0;0;0;0,8;0,6;-1,7;-1,9;-0,8;-0,6;-2,1;73;68;53;57;84;62;95;90;97;94;97;92;1016,1;1018;1017,5;1011,1;1000,4;1008,1;0
